,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
82,0.396695185,0.040684996,0.001595592,0.000488694,relu,0.005,sgd,"{'activation': 'relu', 'alpha': 0.005, 'solver': 'sgd'}",0.602040816,0.510204082,0.551020408,0.693877551,0.581632653,0.587755102,0.061428232,87
88,0.381628132,0.006969334,0.001196814,0.000399375,relu,0.05,sgd,"{'activation': 'relu', 'alpha': 0.05, 'solver': 'sgd'}",0.591836735,0.62244898,0.459183673,0.602040816,0.571428571,0.569387755,0.057506134,88
34,0.952897263,0.037720411,0.00238905,0.000492195,logistic,0.005,sgd,"{'activation': 'logistic', 'alpha': 0.005, 'solver': 'sgd'}",0.306122449,0.214285714,0.285714286,0.183673469,0.285714286,0.255102041,0.047424286,89
28,0.936721182,0.014100173,0.00299592,0.001093569,logistic,0.0005,sgd,"{'activation': 'logistic', 'alpha': 0.0005, 'solver': 'sgd'}",0.234693878,0.265306122,0.173469388,0.255102041,0.173469388,0.220408163,0.039572897,90
43,0.958807611,0.041047062,0.002794933,0.000742319,logistic,0.1,sgd,"{'activation': 'logistic', 'alpha': 0.1, 'solver': 'sgd'}",0.204081633,0.204081633,0.244897959,0.244897959,0.163265306,0.212244898,0.030544142,91
37,0.92143259,0.012273927,0.002792358,0.000747693,logistic,0.01,sgd,"{'activation': 'logistic', 'alpha': 0.01, 'solver': 'sgd'}",0.204081633,0.204081633,0.183673469,0.255102041,0.214285714,0.212244898,0.023624157,92
25,1.034203577,0.07854284,0.002393484,0.00048959,logistic,0.0001,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'solver': 'sgd'}",0.204081633,0.214285714,0.255102041,0.163265306,0.173469388,0.202040816,0.03252526,93
31,0.951641893,0.036767912,0.002393675,0.000489337,logistic,0.001,sgd,"{'activation': 'logistic', 'alpha': 0.001, 'solver': 'sgd'}",0.163265306,0.204081633,0.193877551,0.163265306,0.255102041,0.195918367,0.033781521,94
40,0.941493464,0.027703664,0.002597475,0.000795825,logistic,0.05,sgd,"{'activation': 'logistic', 'alpha': 0.05, 'solver': 'sgd'}",0.173469388,0.244897959,0.193877551,0.204081633,0.163265306,0.195918367,0.028425282,94
46,0.941850805,0.009269243,0.002597713,0.000795475,logistic,0.5,sgd,"{'activation': 'logistic', 'alpha': 0.5, 'solver': 'sgd'}",0.173469388,0.204081633,0.173469388,0.265306122,0.163265306,0.195918367,0.037297279,94
