,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32,0.003191614,0.000746952,0.006382704,0.000488325,kd_tree,3,,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': None}",0.632653061,0.62244898,0.581632653,0.693877551,0.663265306,0.63877551,0.037961378,49
15,0.003587961,0.00135044,0.005786753,0.001164001,ball_tree,3,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'uniform'}",0.663265306,0.62244898,0.581632653,0.632653061,0.693877551,0.63877551,0.037961378,51
17,0.002991629,0.000631431,0.006582737,0.000488617,ball_tree,3,,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': None}",0.663265306,0.62244898,0.581632653,0.632653061,0.693877551,0.63877551,0.037961378,51
3,0.002194262,0.000399423,0.004787111,0.000746646,auto,5,uniform,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'}",0.693877551,0.632653061,0.612244898,0.571428571,0.653061224,0.632653061,0.040816327,53
5,0.002393007,0.000798345,0.006184006,0.000403465,auto,5,,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': None}",0.693877551,0.632653061,0.612244898,0.571428571,0.653061224,0.632653061,0.040816327,53
48,0.002592993,0.001017804,0.005585241,0.00101728,brute,5,uniform,"{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'uniform'}",0.693877551,0.632653061,0.612244898,0.571428571,0.653061224,0.632653061,0.040816327,53
50,0.001795292,0.000747118,0.006382418,0.001352452,brute,5,,"{'algorithm': 'brute', 'n_neighbors': 5, 'weights': None}",0.693877551,0.632653061,0.612244898,0.571428571,0.653061224,0.632653061,0.040816327,53
0,0.00278821,0.000739976,0.006187201,0.002034352,auto,3,uniform,"{'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'uniform'}",0.653061224,0.581632653,0.581632653,0.642857143,0.673469388,0.626530612,0.037961378,57
2,0.001995134,5.52E-07,0.004587221,0.000488558,auto,3,,"{'algorithm': 'auto', 'n_neighbors': 3, 'weights': None}",0.653061224,0.581632653,0.581632653,0.642857143,0.673469388,0.626530612,0.037961378,57
45,0.002593517,0.001017215,0.006183004,0.001163178,brute,3,uniform,"{'algorithm': 'brute', 'n_neighbors': 3, 'weights': 'uniform'}",0.653061224,0.581632653,0.581632653,0.642857143,0.673469388,0.626530612,0.037961378,57
47,0.001994848,0.000631204,0.005186319,0.000746034,brute,3,,"{'algorithm': 'brute', 'n_neighbors': 3, 'weights': None}",0.653061224,0.581632653,0.581632653,0.642857143,0.673469388,0.626530612,0.037961378,57
